Ward code,Ward name,rent_price_21,rent_price_20
E09000001,City of London,1400,1714
E05000026,Abbey,765,800
E05000027,Alibon,689,712
E05000028,Becontree,849,880
E05000029,Chadwell Heath,818,776
E05000030,Eastbrook,839,782
E05000031,Eastbury,737,846
E05000032,Gascoigne,904,911
E05000033,Goresbrook,697,743
E05000034,Heath,839,679
E05000035,Longbridge,839,932
E05000036,Mayesbrook,727,743
E05000037,Parsloes,651,621
E05000038,River,638,709
E05000039,Thames,956,743
E05000040,Valence,717,880
E05000041,Village,649,635
E05000042,Whalebone,737,813
E05000043,Brunswick Park,820,824
E05000044,Burnt Oak,728,696
E05000045,Childs Hill,1032,1039
E05000046,Colindale,912,833
E05000047,Coppetts,829,815
E05000048,East Barnet,786,774
E05000049,East Finchley,886,892
E05000050,Edgware,842,842
E05000051,Finchley Church End,1034,1017
E05000052,Garden Suburb,1092,1044
E05000053,Golders Green,976,1031
E05000054,Hale,856,842
E05000055,Hendon,892,861
E05000056,High Barnet,847,804
E05000057,Mill Hill,968,966
E05000058,Oakleigh,838,833
E05000059,Totteridge,990,958
E05000060,Underhill,775,739
E05000061,West Finchley,955,934
E05000062,West Hendon,946,842
E05000063,Woodhouse,883,863
E05011217,Barnehurst,814,864
E05011218,Belvedere,767,748
E05011219,Bexleyheath,939,893
E05011220,Blackfen and Lamorbey,969,841
E05011221,Blendon and Penhill,941,946
E05011222,Crayford,854,898
E05011223,Crook Log,1019,793
E05011224,East Wickham,924,843
E05011225,Erith,779,898
E05011226,Falconwood and Welling,930,928
E05011227,Longlands,1037,904
E05011228,Northumberland Heath,757,730
E05011229,St. Mary's and St. James,1081,842
E05011230,Sidcup,984,857
E05011231,Slade Green and Northend,797,958
E05011232,Thamesmead East,721,797
E05011233,West Heath,972,727
E05000085,Alperton,706,1032
E05000086,Barnhill,693,786
E05000087,Brondesbury Park,915,934
E05000088,Dollis Hill,731,688
E05000089,Dudden Hill,750,705
E05000090,Fryent,738,678
E05000091,Harlesden,751,852
E05000092,Kensal Green,900,717
E05000093,Kenton,642,742
E05000094,Kilburn,912,661
E05000095,Mapesbury,861,738
